id,sourceid,name,party,area,seat,start
0642224351118,057d1c7b-e668-4acc-8167-5d8dc68db0af,Pål Jonson,M,Värmlands län,103,2018-09-24
0564126739422,d07b112d-3095-4283-bf67-806499587845,Åsa Coenraads,M,Västmanlands län,104,2018-09-24
055257333723,78e41c66-0d03-4914-9369-f03b795217e5,Oscar Sjöstedt,SD,Västmanlands län,105,2018-09-24
0521844714515,74612723-9c78-4dbd-b635-1309681dea16,Christina Höj Larsen,V,Västernorrlands län,106,2018-09-24
0455086201022,88b7893a-c9f3-4278-a486-353a1d77a96c,Johnny Skalin,SD,Västernorrlands län,107,2018-09-24
0905312407726,e59e1306-99aa-4644-8fda-d54ff040ce98,Cassandra Sundin,SD,Jämtlands län,108,2018-09-24
0103624617217,13c0a836-8abf-453d-92d0-44d009c27f85,Helén Pettersson,S,Västerbottens län,109,2018-09-24
0216534495014,5b7ac02c-0819-426d-bc5d-41b8c21ca4dd,Jens Holm,V,Stockholms kommun,110,2018-09-24
0389220391128,2774ffff-fec1-459c-b172-974af448f147,Christian Carlsson,KD,Stockholms kommun,111,2022-01-29
0603366539729,b25b78e6-540a-4b6d-8a54-e365587df379,Malin Danielsson,L,Stockholms län,112,2020-02-01
0932000030511,ee32e119-fdfe-4e00-b136-b2102d79b2a6,Maria Stockhaus,M,Stockholms län,113,2018-09-24
0474290584024,c325b529-3455-44a2-acd2-597698b321a6,Azadeh Rojhan Gustafsson,S,Stockholms län,114,2020-08-01
0376353897112,bdd26f21-dca7-4e7c-af32-131937aa539b,Leif Nysmed,S,Stockholms län,115,2018-09-24
0119851690521,c5cc2c67-3638-430e-bccb-a04db799a9f0,David Perez,SD,Uppsala län,116,2021-03-01
0506541436524,1d28738c-16d7-48f3-bb2a-e8cdcf348ca1,Sanne Lennström,S,Uppsala län,117,2020-05-18
0315499690028,3d764cf6-705b-460b-8226-df8f1226b27b,Teresa Carvalho,S,Östergötlands län,118,2019-12-01
0780214960516,ee86b181-9f3b-4e03-8ef4-b96b1e79cd25,Eva Lindh,S,Östergötlands län,119,2018-09-24
049290762318,34f7ceb6-9f7c-4b37-a15e-1c61ffa639e5,ClasGöran Carlsson,S,Kronobergs län,120,2018-09-24
0128805841317,97a9cfb7-de78-4995-8e29-40891595e8d2,Katarina Brännström,M,Kronobergs län,121,2018-09-24
0446541913415,b58dac92-0bb0-4fe3-a052-9049b9a99959,Allan Widman,L,Malmö kommun,122,2018-09-24
0956595590924,0918737e-5224-47aa-a86b-d64f6d820618,Tobias Billström,M,Malmö kommun,123,2018-09-24
0884738092723,2cfb5b7e-ac47-45e5-84f4-6c53c047cdca,Kristina Yngwe,C,Skåne läns södra,124,2020-11-30
0341628241813,d9f971a1-12ab-4a01-8cb6-2d2d6a9e0791,Marianne Fundahn,S,Skåne läns södra,125,2018-09-24
010643534813,a7390cef-27c2-4068-800d-ee21b1a94c69,Eric Westroth,SD,Hallands län,126,2018-09-24
0272006117024,e66d3e3a-3f97-4942-bc4a-f4aa89ad365a,Jon Thorbjörnson,V,Hallands län,127,2018-09-24
0980316377627,4cc89ee3-f5bd-4009-a13f-d86a40caff16,Lars Hjälmered,M,Göteborgs kommun,128,2019-05-11
0499755198526,9ae916dd-799d-4d2b-80c4-f00bc5a7344d,Mattias Jonsson,S,Göteborgs kommun,129,2018-09-24
069309987221,31ae8846-ad0b-4ff2-aaf7-72b398d1fb5a,Johan Hultberg,M,Västra Götalands läns norra,130,2020-03-02
0977592683711,d7c3282f-83e4-11d4-ae60-0050040c9b55,Magnus Jacobsson,KD,Västra Götalands läns norra,131,2018-09-24
0358514648113,ac019194-2cf6-4ebd-8d29-29e1f3950cdf,Marléne Lund Kopparklint,M,Värmlands län,132,2018-09-24
0509415296421,708eae46-00f3-433c-ba07-7129def782fb,Kjell-Arne Ottosson,KD,Värmlands län,133,2018-09-24
0296384583518,473cc883-b475-42fe-8553-4f1a6bd17a54,Åsa Eriksson,S,Västmanlands län,134,2018-09-24
